date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:19	35877/35877	---M-Z	200	added ('OK')	text/html	etag:%227c00090-8c25-54e2112f28495-gzip%22	http://responsiveexpert.com/themes/alamben/html/index.html	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/index.html	(from )
18:51:20	114/114	---M--	200	added ('OK')	text/plain	etag:%227ba03ec-72-534d529c412e2%22	http://responsiveexpert.com/robots.txt		(from )
18:51:20	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%227c0005c-47e-54ccee9e72e93%22	http://responsiveexpert.com/themes/alamben/html/img/favicon.ico	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/img/favicon.ico	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:24	122279/122279	---M--	200	added ('OK')	text/css	etag:%227c00014-1dda7-54e210f34fdbe%22	http://responsiveexpert.com/themes/alamben/html/css/bootstrap.css	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/css/bootstrap.css	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:24	29062/29062	---M--	200	added ('OK')	text/css	etag:%227c0001a-7186-54cceb7f6da91%22	http://responsiveexpert.com/themes/alamben/html/font-awesome/css/font-awesome.min.css	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/font-awesome/css/font-awesome.min.css	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:25	60288/60288	---M--	200	added ('OK')	text/css	etag:%227c00013-eb80-54e210ef3ba52%22	http://responsiveexpert.com/themes/alamben/html/css/animate.min.css	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/css/animate.min.css	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:27	5934/5934	---M--	200	added ('OK')	text/css	etag:%227c00015-172e-54e210f5441d6%22	http://responsiveexpert.com/themes/alamben/html/css/flexslider.css	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/css/flexslider.css	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:27	5655/5655	---M--	200	added ('OK')	text/css	etag:%227c000d8-1617-54e210e7638aa%22	http://responsiveexpert.com/themes/alamben/html/css/fonts/poppins.css	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/css/fonts/poppins.css	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:28	93107/93107	---M--	200	added ('OK')	text/css	etag:%227c00016-16bb3-54e210f8ef970%22	http://responsiveexpert.com/themes/alamben/html/css/style.css	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/css/style.css	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:28	23992/23992	---M--	200	added ('OK')	text/css	etag:%227c000d7-5db8-54e210e570433%22	http://responsiveexpert.com/themes/alamben/html/css/fonts/open-sans.css	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/css/fonts/open-sans.css	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:30	7175/7175	---M--	200	added ('OK')	text/css	etag:%227c000d6-1c07-54e210e2dfff4%22	http://responsiveexpert.com/themes/alamben/html/css/fonts/lato.css	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/css/fonts/lato.css	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:30	3227/3227	---M--	200	added ('OK')	image/png	etag:%227c0007b-c9b-54ccef21252d3%22	http://responsiveexpert.com/themes/alamben/html/img/top-logo.png	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/img/top-logo.png	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:30	42481/42481	---M-Z	200	added ('OK')	text/html	etag:%227c00091-a5f1-54e2113517da7-gzip%22	http://responsiveexpert.com/themes/alamben/html/one-page.html	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/one-page.html	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:31	35592/35592	---M-Z	200	added ('OK')	text/html	etag:%227c00098-8b08-54e2112c5696f-gzip%22	http://responsiveexpert.com/themes/alamben/html/index-1.html	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/index-1.html	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:31	42188/42188	---M-Z	200	added ('OK')	text/html	etag:%227c00099-a4cc-54e21132266af-gzip%22	http://responsiveexpert.com/themes/alamben/html/one-page-1.html	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/one-page-1.html	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:31	26384/26384	---M-Z	200	added ('OK')	text/html	etag:%227c0008c-6710-54e2112242737-gzip%22	http://responsiveexpert.com/themes/alamben/html/about.html	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/about.html	(from http://responsiveexpert.com/themes/alamben/html/index.html)
18:51:31	16823/16823	---M-Z	200	added ('OK')	text/html	etag:%227c00093-41b7-54e21139a5e58-gzip%22	http://responsiveexpert.com/themes/alamben/html/services.html	C:/Users/kuku/Documents/KukuBytes/responsiveexpert.com/themes/alamben/html/services.html	(from http://responsiveexpert.com/themes/alamben/html/index.html)
